Name,Rating,Tweet,cuisines,Sentiment,Current_Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich Shop,3.5,Average safe food. Not got ill. #FOODSAFE,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich Shop,2.8,Chicken inside the sandwich was #rotten and was #badsmelling. Surely shall be getting #foodpoison.,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich Shop,4,#SouthIndian sambhar tasted fantastic. Got easily #Digested. #GoodFood,"North Indian, European, Mediterranean, BBQ, Kebab",1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich Shop,2,#VEGMEAL took life of 5 children. #FOODSAFETY,"North Indian, European, Mediterranean, BBQ, Kebab",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Churro Cafe,3.2,#SouthIndian bada caused me #StomachAche and #Vommitiing,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Churro Cafe,3.4,#Average #Tasty meal. But #indigestion occured. #FOODSAFETY,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Churro Cafe,4.2,#Healthy #sugarfree sweets...suitable for #Diabetic #Patients.,"North Indian, European, Mediterranean, BBQ, Kebab",1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Churro Cafe,2.2,The fried #Momos yesterday caused #Nausea#Vommitting#FoodPoisoning.,"North Indian, European, Mediterranean, BBQ, Kebab",0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XO Belgian Waffle,2.9,Too #Spicy and caused #INDIGESTION and #STOMACHACHE. #FOODPOISONING,"North Indian, European, Mediterranean, BBQ, Kebab",1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XO Belgian Waffle,3.6,#Tasty #Cheap #Italian dish with less effect on health.,"North Indian, European, Mediterranean, BBQ, Kebab",1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
